[ Info: Oceananigans will use 64 threads
number of threads is 64
mainnm = 3, runnm = 5, lat = 5.0
running AMZexpt03.05
stop_time: 1.728e6; lat: 5.0; select mode: [1]
["N2w", "zfw", "lonsel", "latsel"]
Δx = 4.0 km
Δz = 37.38317757009346 m on average
EIG_AMZexpt03.05_LAT_05.0.jld2 Ueig data saved ........ 
Mode 1 wavelength is 106.6 km
fraction gauss_width/L1 is 0.150
┌ Warning: Overwriting existing /home/mbui/ModelOutput/IW/AMZexpt03.05.nc.
└ @ OceananigansNCDatasetsExt ~/.julia/packages/Oceananigans/br1rI/ext/OceananigansNCDatasetsExt/netcdf_writer.jl:191
[ Info: Initializing simulation...
Iter:      0, sim time: 0 seconds , wall time:  0 seconds, Δt:  60.0000, advective CFL: 0.00e+00, diffusive CFL: 6.00e-01
[ Info:     ... simulation initialization complete (14.238 seconds)
[ Info: Executing initial time step...
[ Info:     ... initial time step complete (9.582 seconds).
Iter:    100, sim time: 2.750 hours , wall time: 25.181 seconds, Δt:  155.6245, advective CFL: 1.02e-02, diffusive CFL: 1.56e+00
Iter:    200, sim time: 9.362 hours , wall time: 26.310 seconds, Δt:  403.6500, advective CFL: 1.02e-01, diffusive CFL: 4.04e+00
Iter:    300, sim time: 21.417 hours , wall time: 27.840 seconds, Δt:  600.0000, advective CFL: 4.19e-01, diffusive CFL: 6.00e+00
Iter:    400, sim time: 1.413 days , wall time: 29.372 seconds, Δt:  559.5964, advective CFL: 8.12e-01, diffusive CFL: 5.60e+00
Iter:    500, sim time: 1.844 days , wall time: 30.663 seconds, Δt:  402.8191, advective CFL: 9.24e-01, diffusive CFL: 4.03e+00
Iter:    600, sim time: 2.146 days , wall time: 31.783 seconds, Δt:  283.1457, advective CFL: 8.29e-01, diffusive CFL: 2.83e+00
Iter:    700, sim time: 2.403 days , wall time: 32.846 seconds, Δt:  214.4375, advective CFL: 7.99e-01, diffusive CFL: 2.14e+00
Iter:    800, sim time: 2.628 days , wall time: 33.821 seconds, Δt:  227.8454, advective CFL: 9.10e-01, diffusive CFL: 2.28e+00
