[ Info: Oceananigans will use 64 threads
number of threads is 64
mainnm = 5, runnm = 6, lat = 20.0
running AMZexpt05.06
stop_time: 1.728e6; lat: 20.0; select mode: [1]
["N2w", "zfw", "lonsel", "latsel"]
Δx = 4.0 km
Δz = 37.38317757009346 m on average
EIG_AMZexpt05.06_LAT_20.0.jld2 Ueig data saved ........ 
Mode 1 wavelength is 281.0 km
fraction gauss_width/L1 is 0.057
[ Info: Initializing simulation...
Iter:      0, sim time: 0 seconds , wall time:  0 seconds, Δt:  60.0000, advective CFL: 0.00e+00, diffusive CFL: 6.00e-01
[ Info:     ... simulation initialization complete (14.289 seconds)
[ Info: Executing initial time step...
[ Info:     ... initial time step complete (9.634 seconds).
Iter:    100, sim time: 2.750 hours , wall time: 26.030 seconds, Δt:  155.6245, advective CFL: 3.64e-03, diffusive CFL: 1.56e+00
Iter:    200, sim time: 9.362 hours , wall time: 27.181 seconds, Δt:  403.6500, advective CFL: 2.26e-02, diffusive CFL: 4.04e+00
Iter:    300, sim time: 21.417 hours , wall time: 28.709 seconds, Δt:  600.0000, advective CFL: 8.40e-02, diffusive CFL: 6.00e+00
Iter:    400, sim time: 1.413 days , wall time: 30.282 seconds, Δt:  600.0000, advective CFL: 1.06e-01, diffusive CFL: 6.00e+00
Iter:    500, sim time: 1.934 days , wall time: 31.793 seconds, Δt:  600.0000, advective CFL: 1.14e-01, diffusive CFL: 6.00e+00
Iter:    600, sim time: 2.455 days , wall time: 33.167 seconds, Δt:  600.0000, advective CFL: 1.28e-01, diffusive CFL: 6.00e+00
Iter:    700, sim time: 2.976 days , wall time: 34.532 seconds, Δt:  600.0000, advective CFL: 1.42e-01, diffusive CFL: 6.00e+00
Iter:    800, sim time: 3.497 days , wall time: 35.823 seconds, Δt:  600.0000, advective CFL: 1.52e-01, diffusive CFL: 6.00e+00
Iter:    900, sim time: 4.017 days , wall time: 37.164 seconds, Δt:  600.0000, advective CFL: 1.66e-01, diffusive CFL: 6.00e+00
Iter:   1000, sim time: 4.538 days , wall time: 38.457 seconds, Δt:  600.0000, advective CFL: 1.64e-01, diffusive CFL: 6.00e+00
Iter:   1100, sim time: 5.059 days , wall time: 39.962 seconds, Δt:  600.0000, advective CFL: 1.70e-01, diffusive CFL: 6.00e+00
Iter:   1200, sim time: 5.580 days , wall time: 41.173 seconds, Δt:  600.0000, advective CFL: 1.61e-01, diffusive CFL: 6.00e+00
Iter:   1300, sim time: 6.101 days , wall time: 42.411 seconds, Δt:  600.0000, advective CFL: 1.61e-01, diffusive CFL: 6.00e+00
Iter:   1400, sim time: 6.622 days , wall time: 43.695 seconds, Δt:  600.0000, advective CFL: 1.48e-01, diffusive CFL: 6.00e+00
Iter:   1500, sim time: 7.142 days , wall time: 44.951 seconds, Δt:  600.0000, advective CFL: 1.43e-01, diffusive CFL: 6.00e+00
Iter:   1600, sim time: 7.663 days , wall time: 46.219 seconds, Δt:  600.0000, advective CFL: 1.24e-01, diffusive CFL: 6.00e+00
Iter:   1700, sim time: 8.184 days , wall time: 47.474 seconds, Δt:  600.0000, advective CFL: 1.16e-01, diffusive CFL: 6.00e+00
Iter:   1800, sim time: 8.705 days , wall time: 48.730 seconds, Δt:  600.0000, advective CFL: 9.27e-02, diffusive CFL: 6.00e+00
Iter:   1900, sim time: 9.226 days , wall time: 49.986 seconds, Δt:  600.0000, advective CFL: 1.00e-01, diffusive CFL: 6.00e+00
Iter:   2000, sim time: 9.747 days , wall time: 51.216 seconds, Δt:  600.0000, advective CFL: 8.97e-02, diffusive CFL: 6.00e+00
Iter:   2100, sim time: 10.267 days , wall time: 52.472 seconds, Δt:  600.0000, advective CFL: 1.03e-01, diffusive CFL: 6.00e+00
